date,time,open,high,low,close,volume
2008.10.13,18:00,1.7413,1.743,1.737,1.7379,1676
2008.10.13,19:00,1.738,1.7387,1.7293,1.7304,1427
2008.10.13,20:00,1.7303,1.7329,1.7261,1.7303,1191
2008.10.13,21:00,1.7304,1.7318,1.7273,1.7278,694
2008.10.13,22:00,1.7277,1.7382,1.7269,1.7365,776
2008.10.13,23:00,1.7364,1.7377,1.7309,1.734,687
2008.10.14,0:00,1.7339,1.7419,1.7333,1.7409,621
2008.10.14,1:00,1.741,1.744,1.7397,1.7439,430
2008.10.14,2:00,1.7437,1.7448,1.7421,1.7444,495
2008.10.14,3:00,1.7445,1.7483,1.7437,1.7455,737
2008.10.14,4:00,1.7454,1.7511,1.7428,1.7505,714
2008.10.14,5:00,1.7506,1.751,1.7487,1.7491,532
2008.10.14,6:00,1.7492,1.7552,1.7487,1.7547,551
2008.10.14,7:00,1.7553,1.7553,1.7505,1.7532,424
2008.10.14,8:00,1.7531,1.7544,1.752,1.7525,655
2008.10.14,9:00,1.7524,1.7529,1.7413,1.7435,1402
2008.10.14,10:00,1.7434,1.7506,1.7423,1.7485,1831
2008.10.14,11:00,1.7484,1.7566,1.7481,1.7489,2145
2008.10.14,12:00,1.7488,1.7566,1.7475,1.7565,1988
2008.10.14,13:00,1.7566,1.7597,1.7554,1.7587,1218
2008.10.14,14:00,1.7588,1.7623,1.7577,1.7594,1415
2008.10.14,15:00,1.7593,1.7623,1.7542,1.7543,1711
2008.10.14,16:00,1.7542,1.758,1.7508,1.7566,1684
2008.10.14,17:00,1.7565,1.7572,1.7503,1.7535,2030
2008.10.14,18:00,1.7533,1.7558,1.7455,1.748,2210
2008.10.14,19:00,1.7481,1.7529,1.7452,1.7455,1351
2008.10.14,20:00,1.7454,1.7479,1.7432,1.7469,1226
2008.10.14,21:00,1.7468,1.7473,1.7423,1.7435,1136
2008.10.14,22:00,1.7434,1.746,1.742,1.7421,915
2008.10.14,23:00,1.742,1.743,1.7393,1.7395,720
2008.10.15,0:00,1.7394,1.7418,1.7392,1.7413,434
2008.10.15,1:00,1.7414,1.7452,1.7412,1.7417,353
2008.10.15,2:00,1.7416,1.7417,1.7387,1.74,387
2008.10.15,3:00,1.7401,1.7417,1.7381,1.7415,615
2008.10.15,4:00,1.7416,1.7422,1.7387,1.7392,557
2008.10.15,5:00,1.7393,1.7412,1.7391,1.7409,436
2008.10.15,6:00,1.7408,1.7469,1.7406,1.7432,589
2008.10.15,7:00,1.7431,1.7451,1.7422,1.7446,597
2008.10.15,8:00,1.7447,1.749,1.7434,1.748,586
2008.10.15,9:00,1.7479,1.7495,1.7449,1.747,1187
2008.10.15,10:00,1.7469,1.7483,1.7423,1.7436,1883
2008.10.15,11:00,1.7437,1.7467,1.7432,1.7448,1702
2008.10.15,12:00,1.7447,1.7518,1.7447,1.7517,1414
2008.10.15,13:00,1.7516,1.7602,1.7498,1.7565,1513
2008.10.15,14:00,1.7564,1.7575,1.7528,1.7544,1303
2008.10.15,15:00,1.7545,1.7573,1.7514,1.755,2171
2008.10.15,16:00,1.7549,1.7561,1.7521,1.7543,2042
2008.10.15,17:00,1.7542,1.7597,1.7452,1.7454,2469
2008.10.15,18:00,1.7455,1.7474,1.7427,1.7433,1672
2008.10.15,19:00,1.7434,1.7444,1.736,1.7369,1582
2008.10.15,20:00,1.7368,1.737,1.7335,1.734,871
2008.10.15,21:00,1.7341,1.7393,1.7322,1.7328,1128
2008.10.15,22:00,1.733,1.7342,1.7297,1.7315,906
2008.10.15,23:00,1.7313,1.7314,1.7267,1.7268,836
2008.10.16,0:00,1.7269,1.7269,1.7136,1.7144,708
2008.10.16,1:00,1.7143,1.7189,1.714,1.7182,371
2008.10.16,2:00,1.7181,1.7218,1.7174,1.7194,548
2008.10.16,3:00,1.7192,1.7313,1.7189,1.7271,727
2008.10.16,4:00,1.727,1.7301,1.7254,1.7301,566
2008.10.16,5:00,1.73,1.7353,1.7298,1.7326,785
2008.10.16,6:00,1.7325,1.7343,1.7284,1.7296,691
2008.10.16,7:00,1.7294,1.7306,1.7226,1.725,824
2008.10.16,8:00,1.7248,1.7349,1.7229,1.7247,1071
2008.10.16,9:00,1.7241,1.7256,1.7211,1.7216,1339
2008.10.16,10:00,1.7217,1.7292,1.7211,1.7219,2357
2008.10.16,11:00,1.7217,1.7266,1.7216,1.7248,1760
2008.10.16,12:00,1.7246,1.7285,1.7208,1.7219,1448
2008.10.16,13:00,1.7221,1.7257,1.7198,1.7209,1472
2008.10.16,14:00,1.7208,1.7274,1.7201,1.7232,1530
2008.10.16,15:00,1.7234,1.7292,1.7234,1.7268,1815
2008.10.16,16:00,1.7267,1.7272,1.7176,1.7211,2190
2008.10.16,17:00,1.721,1.7273,1.7159,1.7232,2738
2008.10.16,18:00,1.7229,1.7264,1.7188,1.724,2260
2008.10.16,19:00,1.7239,1.7258,1.7196,1.72,1848
2008.10.16,20:00,1.7202,1.7265,1.7198,1.7261,1415
2008.10.16,21:00,1.7262,1.7323,1.7244,1.7288,1175
2008.10.16,22:00,1.7283,1.7349,1.728,1.7347,860
2008.10.16,23:00,1.7348,1.7352,1.729,1.7303,618
2008.10.17,0:00,1.7302,1.7322,1.7287,1.7319,460
2008.10.17,1:00,1.7318,1.7347,1.7316,1.7339,249
2008.10.17,2:00,1.734,1.7349,1.7335,1.7337,247
2008.10.17,3:00,1.7338,1.7351,1.7325,1.7333,363
2008.10.17,4:00,1.7328,1.7341,1.7283,1.7317,616
2008.10.17,5:00,1.7316,1.733,1.7308,1.7328,416
2008.10.17,6:00,1.7326,1.7338,1.7303,1.7333,362
2008.10.17,7:00,1.7334,1.7346,1.7329,1.7341,439
2008.10.17,8:00,1.734,1.7351,1.7306,1.7333,550
2008.10.17,9:00,1.7332,1.7355,1.7317,1.7352,451
2008.10.17,10:00,1.7351,1.7381,1.7285,1.7285,365
2008.10.17,11:00,1.7284,1.732,1.7252,1.7291,399
2008.10.17,12:00,1.7294,1.7342,1.7268,1.7327,411
2008.10.17,13:00,1.7328,1.7329,1.7268,1.7299,576
2008.10.17,14:00,1.73,1.7315,1.7255,1.7314,1131
2008.10.17,15:00,1.7315,1.7329,1.7264,1.7315,1440
2008.10.17,16:00,1.7316,1.7319,1.7277,1.7316,1631
2008.10.17,17:00,1.7318,1.7329,1.7224,1.7256,2163
2008.10.17,18:00,1.7257,1.7302,1.7247,1.7302,2018
2008.10.17,19:00,1.7303,1.7314,1.7276,1.7294,957
2008.10.17,20:00,1.7295,1.7348,1.7294,1.7337,781
2008.10.17,21:00,1.7335,1.734,1.7307,1.7332,761
2008.10.17,22:00,1.7334,1.7342,1.7297,1.7305,441
2008.10.17,23:00,1.7304,1.7337,1.7277,1.7281,361
2008.10.20,1:00,1.7306,1.7315,1.7303,1.7309,156
2008.10.20,2:00,1.7304,1.7333,1.7287,1.7326,265
2008.10.20,3:00,1.7327,1.7344,1.7306,1.732,475
2008.10.20,4:00,1.7319,1.7328,1.7302,1.7322,342
2008.10.20,5:00,1.7321,1.7327,1.7302,1.7325,186
2008.10.20,6:00,1.7323,1.7348,1.7322,1.7346,237
2008.10.20,7:00,1.7345,1.739,1.7337,1.7387,453
2008.10.20,8:00,1.739,1.7395,1.7364,1.737,351
2008.10.20,9:00,1.7371,1.7499,1.7368,1.7496,1018
2008.10.20,10:00,1.7498,1.751,1.7464,1.7483,1166
2008.10.20,11:00,1.7479,1.749,1.745,1.7464,1363
2008.10.20,12:00,1.7463,1.7517,1.7453,1.7495,1410
2008.10.20,13:00,1.7496,1.7507,1.7406,1.7417,1577
2008.10.20,14:00,1.7418,1.7421,1.7349,1.7394,1533
