date,time,open,high,low,close,volume
2013.09.03,17:30,1401.22,1402.74,1400.07,1400.79,1660
2013.09.03,18:00,1400.67,1407.95,1400.56,1405.35,1935
2013.09.03,18:30,1405.33,1407.99,1404.44,1406.21,1819
2013.09.03,19:00,1406.22,1407.4,1404.8,1406.89,1393
2013.09.03,19:30,1406.88,1409,1406.61,1408.91,1488
2013.09.03,20:00,1408.98,1412.67,1408.52,1412.4,2771
2013.09.03,20:30,1412.32,1416.29,1411.02,1414.75,2170
2013.09.03,21:00,1414.78,1415.24,1411.29,1412.65,1216
2013.09.03,21:30,1412.68,1414.01,1411.87,1413.14,1462
2013.09.03,22:00,1413.14,1413.71,1411.7,1413.6,689
2013.09.03,22:30,1413.55,1413.62,1411.68,1412.16,797
2013.09.03,23:00,1412.07,1413.48,1412.01,1413,410
2013.09.03,23:30,1413,1413.14,1412.06,1412.08,255
2013.09.04,1:00,1411.33,1412.29,1410.5,1410.9,531
2013.09.04,1:30,1410.83,1411.87,1410.8,1411.48,184
2013.09.04,2:00,1411.6,1412.03,1411.28,1411.49,219
2013.09.04,2:30,1411.51,1411.61,1410.12,1411.32,448
2013.09.04,3:00,1411.32,1414.05,1410.97,1412.65,841
2013.09.04,3:30,1412.68,1413.52,1411.74,1413.37,606
2013.09.04,4:00,1413.37,1413.82,1411.72,1412.69,1182
2013.09.04,4:30,1412.67,1414.92,1412.42,1412.99,1017
2013.09.04,5:00,1412.95,1414.03,1412.82,1413.54,731
2013.09.04,5:30,1413.54,1413.64,1412.14,1412.34,849
2013.09.04,6:00,1412.37,1413.04,1410.74,1411.54,1373
2013.09.04,6:30,1411.44,1413.04,1411.39,1412.34,584
2013.09.04,7:00,1412.27,1414.04,1411.99,1413.14,639
2013.09.04,7:30,1413.04,1413.34,1411.59,1411.76,975
2013.09.04,8:00,1411.82,1412.68,1410.84,1411.02,1306
2013.09.04,8:30,1411.03,1411.37,1406.68,1407.61,1969
2013.09.04,9:00,1407.59,1408.35,1405.73,1406.09,1345
2013.09.04,9:30,1406.13,1409.09,1406,1407.73,1251
2013.09.04,10:00,1407.69,1409.13,1406.72,1409.03,925
2013.09.04,10:30,1409.18,1409.88,1407.18,1408.03,905
2013.09.04,11:00,1408.05,1409.04,1406.46,1406.71,734
2013.09.04,11:30,1406.74,1406.75,1403.57,1404.19,1126
2013.09.04,12:00,1403.88,1405.37,1402.49,1405.22,1091
2013.09.04,12:30,1405.2,1405.57,1403.54,1405.24,871
2013.09.04,13:00,1405.09,1405.74,1401.45,1402.54,885
2013.09.04,13:30,1402.52,1403.75,1402.25,1402.62,809
2013.09.04,14:00,1402.64,1403.54,1399.75,1403.51,1421
2013.09.04,14:30,1403.52,1404.57,1403.52,1404.22,800
2013.09.04,15:00,1404.3,1404.3,1397.45,1400.54,1788
2013.09.04,15:30,1400.54,1401.25,1393.42,1394.01,1883
2013.09.04,16:00,1393.88,1394.58,1390.92,1393.64,2452
2013.09.04,16:30,1393.68,1395.17,1391.83,1391.85,2301
2013.09.04,17:00,1391.88,1392.41,1386.11,1389.59,2551
2013.09.04,17:30,1389.59,1391.08,1389.1,1389.7,1672
2013.09.04,18:00,1389.7,1392.36,1389.64,1391.32,1586
2013.09.04,18:30,1391.32,1391.52,1389.02,1390.39,1497
2013.09.04,19:00,1390.34,1390.38,1386.3,1386.86,1528
2013.09.04,19:30,1386.94,1388.82,1384.66,1388.63,2188
2013.09.04,20:00,1388.62,1390.77,1386.64,1390.24,1767
2013.09.04,20:30,1390.52,1390.82,1389.38,1389.71,1008
2013.09.04,21:00,1389.64,1390.27,1388.33,1389.22,928
2013.09.04,21:30,1389.37,1391.36,1389.13,1390.99,667
2013.09.04,22:00,1391.06,1392.22,1389.68,1391.88,829
2013.09.04,22:30,1391.9,1395.96,1391.88,1394.03,1204
2013.09.04,23:00,1393.97,1393.97,1392.56,1393.46,395
2013.09.04,23:30,1393.49,1393.49,1391.1,1391.46,329
2013.09.05,1:00,1390.82,1392.76,1390.82,1391.77,612
2013.09.05,1:30,1391.76,1391.76,1390.59,1391.46,282
2013.09.05,2:00,1391.39,1393.9,1391.16,1392.76,451
2013.09.05,2:30,1392.67,1393.9,1392.54,1393.5,353
2013.09.05,3:00,1393.5,1394.88,1392.68,1393.48,862
2013.09.05,3:30,1393.48,1393.78,1392.88,1393.38,414
2013.09.05,4:00,1393.55,1394.48,1391.98,1392.8,1073
2013.09.05,4:30,1392.85,1393.58,1391.59,1391.68,1070
2013.09.05,5:00,1391.63,1393.08,1391.61,1392.86,628
2013.09.05,5:30,1392.83,1393.16,1392,1392.48,616
2013.09.05,6:00,1392.48,1393.46,1392.36,1392.84,525
2013.09.05,6:30,1392.92,1393.76,1392.86,1393.46,273
2013.09.05,7:00,1393.56,1393.58,1392.37,1393.06,467
2013.09.05,7:30,1393.16,1393.26,1391.17,1391.86,951
2013.09.05,8:00,1391.96,1391.96,1385.91,1385.97,1096
2013.09.05,8:30,1385.95,1386.31,1381.05,1383.17,2017
2013.09.05,9:00,1383.19,1386.39,1383.04,1384.09,1408
2013.09.05,9:30,1384.03,1387.42,1383.35,1386.63,1356
2013.09.05,10:00,1386.63,1390.14,1384.99,1388.23,1133
2013.09.05,10:30,1388.27,1388.52,1386.18,1387.51,801
2013.09.05,11:00,1387.51,1389.03,1386.94,1387.22,805
2013.09.05,11:30,1387.27,1389.25,1387.15,1388.97,879
2013.09.05,12:00,1388.98,1393.35,1388.84,1392.83,1220
2013.09.05,12:30,1392.89,1394.07,1391.06,1393.11,1064
2013.09.05,13:00,1393.11,1396.19,1392.46,1395.2,1053
2013.09.05,13:30,1395.35,1397.1,1394.57,1395.34,1207
2013.09.05,14:00,1395.35,1395.96,1393.65,1394.32,997
2013.09.05,14:30,1394.25,1397.04,1394.17,1396,1124
2013.09.05,15:00,1396,1399.84,1394.39,1397.06,1718
2013.09.05,15:30,1397.01,1397.01,1388.81,1391.45,2166
2013.09.05,16:00,1391.42,1391.43,1387.34,1388.97,1873
2013.09.05,16:30,1388.94,1390.95,1386.68,1386.92,1666
2013.09.05,17:00,1386.89,1386.96,1376.75,1377.57,2668
2013.09.05,17:30,1377.63,1377.63,1364.74,1367.93,3131
2013.09.05,18:00,1367.87,1370.58,1366.13,1367.25,2426
2013.09.05,18:30,1367.54,1370.66,1366.65,1368.77,2096
2013.09.05,19:00,1368.65,1368.73,1365.78,1367.46,1840
2013.09.05,19:30,1367.48,1372.13,1367.13,1371.95,1634
2013.09.05,20:00,1371.96,1373.5,1370.98,1372.58,1315
2013.09.05,20:30,1372.6,1373.26,1370.88,1371.36,1071
2013.09.05,21:00,1371.21,1372.68,1367.6,1368.54,1222
2013.09.05,21:30,1368.55,1369.76,1365.1,1369.28,1525
2013.09.05,22:00,1369.26,1370.48,1368.92,1369.74,715
2013.09.05,22:30,1369.76,1369.96,1368.15,1368.8,615
2013.09.05,23:00,1368.8,1368.86,1367.78,1367.78,393
2013.09.05,23:30,1367.76,1368.26,1367.09,1367.23,284
2013.09.06,1:00,1366.38,1367.56,1365.84,1366.18,426
2013.09.06,1:30,1366.1,1367.28,1365.72,1367.18,298
2013.09.06,2:00,1367.18,1367.86,1366.44,1367.86,356
2013.09.06,2:30,1367.86,1369.21,1367.69,1369.08,470
2013.09.06,3:00,1369.16,1369.75,1368.68,1369.64,574
2013.09.06,3:30,1369.68,1371.6,1368.78,1371.43,804
2013.09.06,4:00,1371.43,1371.96,1369.07,1370.76,1513
2013.09.06,4:30,1370.73,1372.67,1370.33,1371.89,1067
2013.09.06,5:00,1371.83,1372.56,1371.36,1372.46,701
2013.09.06,5:30,1372.46,1373.86,1372.26,1372.96,938
2013.09.06,6:00,1372.96,1373.39,1371.31,1372.16,750
2013.09.06,6:30,1372.07,1372.37,1370.88,1371.19,440
2013.09.06,7:00,1371.06,1371.45,1369.33,1369.43,368
2013.09.06,7:30,1369.24,1370.96,1369.2,1370.62,641
2013.09.06,8:00,1370.62,1371.85,1370.62,1371.58,528
2013.09.06,8:30,1371.59,1372.24,1369.04,1370.59,1085
2013.09.06,9:00,1370.73,1370.73,1367,1368.39,1350
2013.09.06,9:30,1368.36,1370.84,1368.36,1370.59,1236
2013.09.06,10:00,1370.58,1372.7,1370.26,1371.42,1026
2013.09.06,10:30,1371.42,1371.49,1368.59,1369.21,854
2013.09.06,11:00,1369.29,1370.58,1366.83,1367.78,1173
2013.09.06,11:30,1367.68,1370.09,1367.53,1368.95,723
2013.09.06,12:00,1368.92,1370.29,1368.67,1369.23,677
2013.09.06,12:30,1369.2,1370,1368.09,1368.74,680
2013.09.06,13:00,1368.82,1369.29,1368.41,1369.09,455
2013.09.06,13:30,1369.09,1369.09,1362.62,1366.7,1153
2013.09.06,14:00,1366.72,1370.27,1366.2,1369.66,1303
2013.09.06,14:30,1369.67,1371.13,1368.29,1370.36,1242
2013.09.06,15:00,1370.47,1372.2,1360.27,1360.62,1801
2013.09.06,15:30,1359.91,1393.37,1358.42,1384.17,2700
2013.09.06,16:00,1384.14,1385.24,1380.47,1381.55,1834
2013.09.06,16:30,1381.54,1391.46,1380.59,1385.05,2610
2013.09.06,17:00,1385.13,1390.18,1385.13,1387.91,2237
2013.09.06,17:30,1387.81,1389.06,1384.3,1384.62,1923
2013.09.06,18:00,1384.72,1388.18,1384.16,1386.8,1697
2013.09.06,18:30,1386.8,1388.11,1385.69,1386.96,1279
2013.09.06,19:00,1386.96,1388.83,1386.12,1386.68,1159
2013.09.06,19:30,1386.78,1388.8,1386.69,1387.9,884
2013.09.06,20:00,1387.88,1389.06,1386.24,1386.63,985
2013.09.06,20:30,1386.73,1388.28,1386.34,1388.13,607
2013.09.06,21:00,1388.03,1388.92,1387.81,1388.78,499
2013.09.06,21:30,1388.74,1388.91,1387.31,1388.72,537
2013.09.06,22:00,1388.66,1390.35,1387.81,1388.27,961
2013.09.06,22:30,1388.21,1390.13,1387.79,1389.15,728
2013.09.06,23:00,1389.01,1389.7,1388,1389.42,348
2013.09.06,23:30,1389.41,1391.73,1389.41,1391.63,616
2013.09.09,1:00,1390.1,1394.53,1385.07,1389.1,1237
2013.09.09,1:30,1389.03,1389.04,1386.87,1387.19,463
2013.09.09,2:00,1387.17,1388.61,1387.17,1387.8,279
2013.09.09,2:30,1387.82,1388.78,1387.58,1388.78,704
2013.09.09,3:00,1388.68,1389.83,1387.48,1387.49,761
2013.09.09,3:30,1387.4,1390.42,1386.28,1389.93,804
2013.09.09,4:00,1389.83,1391.87,1388.44,1390.69,1175
2013.09.09,4:30,1390.71,1390.74,1388.65,1389.41,781
2013.09.09,5:00,1389.51,1389.53,1387.17,1388.86,858
2013.09.09,5:30,1388.82,1389.82,1388.41,1388.71,753
2013.09.09,6:00,1388.71,1389,1387.48,1388.64,566
2013.09.09,6:30,1388.63,1388.86,1387.95,1388.14,260
2013.09.09,7:00,1388.14,1388.42,1387.51,1387.87,334
2013.09.09,7:30,1387.9,1388.37,1387.53,1387.67,248
2013.09.09,8:00,1387.72,1388.65,1387.67,1388.04,297
2013.09.09,8:30,1388.03,1389.48,1387.08,1388.38,727
2013.09.09,9:00,1388.46,1388.6,1386.94,1387.44,811
2013.09.09,9:30,1387.44,1387.84,1386.95,1387.74,670
2013.09.09,10:00,1387.74,1388.2,1386.65,1386.84,796
2013.09.09,10:30,1386.81,1387.8,1386.23,1387.34,769
2013.09.09,11:00,1387.37,1388.3,1386.56,1387.1,850
2013.09.09,11:30,1387.04,1387.65,1386.66,1387.28,660
2013.09.09,12:00,1387.05,1387.23,1386.57,1386.73,598
2013.09.09,12:30,1386.69,1387.79,1385.66,1387.15,669
2013.09.09,13:00,1387.14,1387.39,1386.22,1387,562
2013.09.09,13:30,1387.04,1387.04,1385.18,1385.35,734
2013.09.09,14:00,1385.39,1386.85,1384.43,1386.26,945
2013.09.09,14:30,1386.25,1386.49,1382.05,1382.61,1430
2013.09.09,15:00,1382.56,1387.74,1382.03,1386.7,1619
2013.09.09,15:30,1386.72,1388.26,1386.09,1387.88,1622
2013.09.09,16:00,1387.86,1389.77,1387.1,1389.04,1352
2013.09.09,16:30,1389.05,1389.34,1387.37,1388.31,1521
2013.09.09,17:00,1388.28,1390.91,1388.28,1389.47,1712
2013.09.09,17:30,1389.57,1389.87,1387.41,1387.72,1389
2013.09.09,18:00,1387.72,1388.79,1387.56,1388.08,973
2013.09.09,18:30,1388.05,1388.5,1385.9,1386.8,992
2013.09.09,19:00,1386.84,1387.71,1385.58,1386.02,1031
2013.09.09,19:30,1386.04,1386.88,1384.22,1385.33,883
2013.09.09,20:00,1385.28,1387.08,1385.18,1386.47,799
2013.09.09,20:30,1386.49,1387.1,1385.82,1386.29,431
2013.09.09,21:00,1386.29,1387.18,1386.19,1386.67,592
2013.09.09,21:30,1386.57,1386.97,1386.1,1386.78,509
2013.09.09,22:00,1386.79,1387.15,1386.57,1386.91,457
