R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
0.1,1212.371407,8519.7,0.142302124,21.89805704,2358,0.924242424,0.663265306,130.2816201,-1300.381412,4.550493443,561,0.934046346,561,0.914438503,-1.222284285,0.126559715,0,0,0,2,0.368983957,0,0,0,19,2020.325214,648.135,1723.105,2978.0775,8519.7,0.006372581,0.002039914,0.005491567,0.009379917,0.026192577,529.2887701,39,276,727,2358,21.89805704,66.6075,109.25,156.4075,-4197.18,1406.2
0.2,1145.753109,20826.96,0.055012979,20.6947861,2040,0.843137255,0.572164948,291.8683615,-1436.863182,4.550493443,561,0.85026738,561,0.83600713,-1.091817553,0.254010695,0,0,0,3,0.757575758,0,0,1,20,5658.373378,1824.53,3913.59,8328.1325,20826.96,0.017755552,0.005710854,0.01210889,0.02547665,0.066598072,529.7272727,75,324.5,833.25,2040,20.6947861,136,230.3,335.31,-4197.18,2839.03
0.3,90.61157069,24426.48,0.003709563,1.636862745,3421,0.778966132,0.567010309,446.8462586,-1567.367218,4.549878345,561,0.778966132,561,0.778966132,-1.004724792,0.369875223,0,0,1,4,1.185383244,0,0,1,20,9821.384786,4398.3675,10066.035,14434.9225,24426.48,0.031262018,0.01432197,0.032280008,0.045770632,0.077215743,1043.104278,210.5,674,1746.5,3421,1.636862745,152.1,337.65,498.225,-10128.16,4248.27
0.4,1432.0216,25174.77,0.056883205,25.86891266,2356,0.731729055,0.61025641,607.9160901,-1561.708272,4.549878345,561,0.729055258,561,0.734402852,-1.061745402,0.481283422,0,0,1,5,1.662210339,0,0,2,37,7192.988262,2320.44,5444.745,10992.0175,25174.77,0.023027072,0.007373926,0.017373618,0.035164967,0.081331807,599.7789661,68.5,332.5,1023,2356,25.86891266,-663.37,435,664.2125,-10128.16,5681.1
0.5,2008.990491,28562.94,0.070335564,36.29163102,2274,0.685383244,0.549222798,768.1924057,-1558.132436,4.549878345,561,0.668449198,561,0.702317291,-1.074032134,0.614081996,0,0,1,5,2.306595365,0,1,3,102,8188.503146,2494.02,6785.27,13306.23,28562.94,0.025889729,0.007709355,0.021673569,0.041871239,0.091551861,663.516934,69,433,1167.75,2274,36.29163102,-957.5925,510,803.6825,-10128.16,6814
0.6,959.3012098,46389.29,0.020679368,17.32940285,5093,0.63368984,0.523316062,929.1908017,-1560.124258,4.549878345,561,0.620320856,561,0.647058824,-1.030323229,0.711229947,0,0,1,5,2.917112299,0,1,4,104,14917.60755,5616.915,11864.065,21472.3025,46389.29,0.047557477,0.017917197,0.037965404,0.068422485,0.147821618,1830.311052,362,1417,3138.25,5093,17.32940285,-1168.725,574.14,950.6975,-10128.16,8233.35
0.7,1601.870478,40138.78,0.0399083,28.9097861,5049,0.599821747,0.554404145,1090.347519,-1562.064811,4.554187525,561,0.588235294,561,0.6114082,-1.046247935,0.820855615,0,1,1,6,3.479500891,0,2,5,104,14963.24837,5315.8825,11752.93,25574.2375,40138.78,0.04705916,0.016419153,0.037227979,0.08042582,0.12622837,1777.51426,291,1374,3086.75,5049,28.9097861,-1244.6825,628.35,1090.93,-10128.16,9669.55
0.8,2475.114335,28605.68,0.086525275,44.66967023,2545,0.571301248,0.578125,1251.353994,-1563.406528,4.554187525,561,0.559714795,561,0.582887701,-1.066648228,0.907308378,0,1,1,6,4.057040998,0,2,5,104,10152.74643,3380.7575,9505.37,16293.2825,28605.68,0.030966764,0.010132124,0.029164635,0.049253583,0.088266407,882.6354724,117.25,653.5,1589,2545,44.66967023,-1312.7125,651.43,1230.7575,-10128.16,11105.75
0.9,3943.138804,22731.68,0.173464469,71.16386809,1880,0.547237077,0.592592593,1418.472671,-1557.276299,4.554187525,561,0.534759358,561,0.559714795,-1.100930638,0.990196078,0,1,2,6,4.565953654,1,3,6,104,6779.578547,2318.09,6117.74,10941.55,22731.68,0.020008453,0.006892657,0.018433726,0.032619678,0.065087715,445.6729055,38,231,737,1880,71.16386809,-1338.005,669.325,1360.975,-10128.16,12541.95
1,4549.321776,24352.28,0.186812971,82.10396613,1705,0.521390374,0.552631579,1584.80347,-1554.915047,4.554187525,561,0.504456328,561,0.538324421,-1.110325535,1.10516934,0,1,2,7,5.21657754,1,3,6,104,7088.957415,2412.905,7095.825,11190.4825,24352.28,0.020815577,0.007230377,0.019742053,0.03261977,0.074376393,404.9090909,34,202.5,655,1705,82.10396613,-1386.1375,589,1486.4925,-10128.16,13978.15
