R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
0.1,-5520.686389,63798.25,-0.086533508,-27.37377065,2951,0.834827749,0.362068966,53.63123799,-436.7962286,16.57627119,1059,0.838526912,1060,0.831132075,-0.620581366,0.159981123,0,0,0,3,0.070316187,0,0,0,4,33221.09644,7675.31,33374.77,54515.08,63798.25,0.109086629,0.025203085,0.109591296,0.179008822,0.209491568,1443.542709,697,1431,2184,2951,-27.37377065,9.1,31.2,65.25,-2320,1486
0.2,-5802.273181,70607.92,-0.082175954,-28.76999056,2647,0.823501652,0.342105263,128.0591117,-760.4993583,16.57627119,1059,0.83286119,1060,0.814150943,-0.785661483,0.290703162,0,0,0,4,0.148183105,0,0,0,6,36069.17064,12476.54,34474.98,58484.325,70607.92,0.117461559,0.040625304,0.112255205,0.190432885,0.229908952,1160.2874,380,1112,1878,2647,-28.76999056,33.6,85.2,153.06,-3092.56,1486
0.3,-4972.787601,64250.86,-0.077396436,-24.65706937,2462,0.771118452,0.394736842,204.5752876,-796.9574227,16.57627119,1059,0.775259679,1060,0.766981132,-0.864825256,0.400660689,0,0,1,4,0.244454932,0,0,0,18,34552.96438,15992.935,36043.37,53359.985,64250.86,0.111296144,0.051499567,0.116064871,0.171826879,0.206897074,987.7361963,200,906,1678,2462,-24.65706937,38.4,131.1,231.98,-4370.24,1486
0.4,-4154.114016,59199.86,-0.070171011,-20.59775838,2506,0.720622935,0.47826087,282.0880354,-801.3430405,16.57627119,1059,0.725212465,1060,0.716037736,-0.907995146,0.514865503,0,0,1,6,0.327512978,0,0,0,19,32294.10376,13660.715,36944.33,48241.395,59199.86,0.103707952,0.043943568,0.118572375,0.154830167,0.190001226,1015.498348,239,933,1713,2506,-20.59775838,-348,171.2,306.915,-4370.24,1914
0.5,-5286.748514,66843.84,-0.079091035,-26.21381312,3106,0.669183577,0.408695652,358.9808745,-805.3950785,16.57627119,1059,0.678942398,1060,0.659433962,-0.901613805,0.626710713,0,0,1,6,0.455403492,0,0,0,21,33132.84289,18908.16,33043.71,45502.27,66843.84,0.108706116,0.062036064,0.108413601,0.149289077,0.219308952,1530.75177,754,1517,2307.5,3106,-26.21381312,-490.5,198.5,370.75,-4370.24,2400
0.6,-2895.629231,56152.93,-0.051566841,-14.35768759,2696,0.636621048,0.47826087,436.8627724,-804.8724935,16.57627119,1059,0.658168083,1060,0.61509434,-0.950909479,0.700330345,0,0,1,7,0.547428032,0,0,0,25,28465.55897,17406.66,30908.55,40015.295,56152.93,0.090450649,0.055276139,0.098152391,0.127071534,0.17831779,1159.682869,351,1108,1897.5,2696,-14.35768759,-541.28,223.2,434.515,-4370.24,2886
0.7,-4327.875906,66818.55,-0.064770575,-21.45933931,2716,0.59886739,0.460869565,509.9171316,-814.7731529,16.57627119,1059,0.622285175,1060,0.575471698,-0.934341393,0.800849457,0,1,1,7,0.681453516,0,0,1,25,32626.51519,19165.63,30641.65,49987.97,66818.55,0.104985803,0.061894607,0.09854337,0.160761024,0.214888072,1172.960359,355,1118,1917.5,2716,-21.45933931,-592.185,240.9,484.5,-4370.24,3372
0.8,-3482.864263,60400.3,-0.057663029,-17.2694337,2698,0.568192544,0.473684211,587.28201,-812.7666339,16.57627119,1059,0.593012276,1060,0.543396226,-0.950793543,0.852288815,0,1,1,7,0.778197263,0,0,1,25,30459.0316,19490.935,28349.1,46566.275,60400.3,0.097306385,0.062264827,0.090515848,0.14868147,0.192852131,1159.277017,351,1095,1896.5,2698,-17.2694337,-627.06,245.2,539.2,-4370.24,3858
0.9,-1917.245541,47913.82,-0.040014458,-9.506470033,2700,0.543180746,0.473684211,664.7718766,-811.2568595,16.57627119,1059,0.564683664,1060,0.521698113,-0.974348279,0.919301557,0,1,1,7,0.886267107,0,0,1,26,25591.39284,16581.095,27135.66,36900.705,47913.82,0.080520308,0.052138431,0.085326737,0.116032436,0.15066263,1147.593676,331,1095,1895.5,2700,-9.506470033,-652.12,240.9,591.115,-4370.24,4344
1,-3001.944641,67402.72,-0.044537441,-14.88484191,2660,0.511562058,0.456140351,743.2466513,-808.9085507,16.57627119,1059,0.535410765,1060,0.487735849,-0.962326549,1.008966494,0,1,2,7,1.036337895,0,0,1,28,36344.49584,27454.03,39101.38,49928.11,67402.72,0.112511804,0.08495861,0.121002232,0.154506382,0.208582908,1117.615385,297,1058,1853.5,2660,-14.88484191,-684.925,189,623,-4370.24,4830
