R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
0.1,-25097.50559,71355.22,-0.351726273,-32.57396985,438,0.454088625,0,21.87059256,-77.8609113,63.32690453,1094,0.455210238,1095,0.452968037,-0.233646644,0.198720877,0,0,0,3,0.012791229,0,0,0,3,39380.08886,22387.532,40988.728,57158.21,71355.22,0.131244739,0.074612472,0.136605961,0.190495109,0.237810464,217.94381,80,232,343,438,-32.57396985,-11.4,-1.8,11.8,-1082.581,335.7
0.2,-22272.23101,63592.744,-0.350232269,-28.90705528,440,0.756509822,0.125,47.83360085,-267.3358105,63.32690453,1094,0.758683729,1095,0.7543379,-0.555915855,0.339881224,0,0,1,5,0.033805391,0,0,0,3,37170.76369,23811.835,38199.477,52524.931,63592.744,0.123801276,0.079307909,0.127227518,0.174940002,0.211802559,220.7464596,84,236,344,440,-28.90705528,1,22.8,51,-1813.054,701.4
0.3,-18032.40967,53539.868,-0.336803402,-23.40420512,439,0.764275925,0.21875,81.14691213,-362.3848624,63.32690453,1094,0.762340037,1095,0.766210046,-0.72601934,0.463225217,0,0,1,5,0.048423938,0,0,0,4,29507.66113,19378.764,30419.781,39914.165,53539.868,0.098137045,0.064450193,0.101170579,0.132747148,0.178063722,219.2042028,82,233,345,439,-23.40420512,5.4,45,87.3,-1813.054,1067.1
0.4,-15588.16939,47008.11,-0.331605959,-20.23183371,451,0.722704431,0.25,117.1405291,-378.2599687,63.32690453,1094,0.714808044,1095,0.730593607,-0.807113455,0.591594335,0,0,1,6,0.068067611,0,0,0,7,24396.77256,14315.876,23008.007,34985.504,47008.11,0.08119191,0.047642913,0.07657013,0.11643097,0.156441933,226.3768844,87,239,355,451,-20.23183371,-185,64.4,121.87,-1813.054,1432.8
0.5,-16002.62742,50638.876,-0.316014665,-20.76975742,451,0.67793513,0.25,152.6406995,-385.7926199,63.32690453,1094,0.667276051,1095,0.688584475,-0.832839311,0.713567839,0,0,1,7,0.097761535,0,0,0,7,26009.89464,14452.383,25388.8,39539.862,50638.876,0.086362855,0.047987443,0.084300533,0.131287476,0.16814045,222.9109182,85,235,352,451,-20.76975742,-235,78.5,153.5,-1813.054,1798.5
0.6,-20371.58555,63170.871,-0.322483848,-26.4402138,452,0.630881681,0.21875,187.3050116,-391.7646646,63.32690453,1094,0.611517367,1095,0.650228311,-0.817158784,0.832800365,0,1,1,9,0.120603015,0,0,0,7,32321.01093,18956.021,31438.177,48350.476,63170.871,0.107571043,0.063089579,0.104632789,0.160920436,0.210245791,227.5692097,91,243,354,452,-26.4402138,-270,88.2,178.873,-1813.054,2164.2
0.7,-20499.86106,65369.566,-0.313599467,-26.60670215,462,0.595705802,0.25,222.5094555,-393.6659898,63.32690453,1094,0.57678245,1095,0.614611872,-0.83282719,0.926450434,0,1,1,10,0.143901325,0,0,0,8,34745.13137,22268.498,33217.068,51624.111,65369.566,0.115318484,0.073908726,0.110246824,0.171339453,0.21696036,229.817725,89,245,359,462,-26.60670215,-292,96.7,204.5,-1813.054,2529.9
0.8,-21044.51955,67080.161,-0.313721959,-27.31361261,477,0.56281407,0.28125,257.7376161,-394.2761139,63.32690453,1094,0.545703839,1095,0.579908676,-0.841542609,1.025125628,0,1,2,10,0.166742805,0,0,0,9,32929.83011,16774.643,27415.456,54000.39,67080.161,0.108978693,0.055514334,0.09072925,0.178709954,0.221996406,237.4582001,94,253,369,477,-27.31361261,-306.527,98.8,226,-1813.054,2876.019
0.9,-21041.17788,68035.919,-0.309265726,-27.30927547,477,0.539058931,0.3125,290.1122,-398.525669,63.32690453,1094,0.527422303,1095,0.550684932,-0.851335089,1.125628141,0,1,2,10,0.196436729,0,0,0,11,37666.83992,24372.858,34215.217,56214.127,68035.919,0.124531494,0.080579801,0.113119905,0.185851129,0.224935493,237.7953403,95,252,371,477,-27.30927547,-318.527,96.9,252.373,-1813.054,3241.719
1,-18403.46754,62611.86,-0.293929418,-23.88579991,479,0.518501599,0.34375,324.4387692,-398.9791452,63.32690453,1094,0.499085923,1095,0.537899543,-0.875664615,1.190497944,0,1,2,10,0.209684788,0,0,0,11,37330.1574,26786.884,35357.937,53978.059,62611.86,0.123081364,0.088319052,0.116578676,0.177971092,0.206437603,238.1132937,95,253,372,479,-23.88579991,-330,89,272,-1813.054,3607.419
1.1,-17374.55049,57219.801,-0.303645769,-22.55037186,480,0.495660119,0.34375,359.8074092,-398.3277201,63.32690453,1094,0.475319927,1095,0.515981735,-0.887749091,1.255824577,0,1,2,10,0.228414801,0,0,0,11,35419.48234,26167.405,34262.18,50611.406,57219.801,0.117185474,0.086574884,0.113356455,0.167447885,0.189311766,238.852444,94,254,374,480,-22.55037186,-345,-120,293.4,-1813.054,3966.592
