R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
0.1,-5571 ,77775 ,-0.072 ,-29.3 ,4018,0.822 ,0.344370861,78.34857492,-527.1305373,15.62796209,1319,0.831690675,1319,0.812736922,-0.687384341,0.182714177,0,0,0,4,0.102350265,0,0,0,8,43698.00729,19347.6695,53903.0775,64196.638,77774.563,0.145658568,0.064491587,0.179675128,0.213986653,0.259245951,1980.733889,998.75,1918,3013.75,4018,-29.29725663,10.65,43.95,89.25475,-3566.64,990
0.2,-5160 ,72681 ,-0.071 ,-27.1 ,4066,0.817 ,0.38,173.5724784,-922.6482567,15.62796209,1319,0.824109174,1319,0.809704321,-0.839353379,0.334723275,0,0,1,5,0.19863533,0,0,0,12,45676.74478,21105.99875,55753.085,64868.8295,72681.347,0.152191895,0.070323793,0.185765595,0.216138653,0.242169445,2007.887415,1020.75,1942,3050.75,4066,-27.13814139,30,104.4,199.55,-3647.91,2001
0.3,-3373 ,61610 ,-0.055 ,-17.7 ,4102,0.769 ,0.447368421,272.9255182,-984.0812148,15.62796209,1319,0.774829416,1319,0.762699014,-0.922043303,0.471948446,0,0,1,5,0.314632297,0,0,0,16,35018.75326,16915.2675,43776.971,47278.61875,61610.168,0.116724714,0.056382069,0.145917656,0.157589369,0.205359373,2024.345337,1025.75,1956,3076.75,4102,-17.73942002,24,159,304.4615,-4906.527,3185.76
0.4,-1470 ,61585 ,-0.024 ,-7.7 ,3481,0.724 ,0.506666667,371.5460215,-1002.804644,15.62796209,1319,0.73313116,1319,0.714935557,-0.972071626,0.56974981,0,0,1,6,0.418498863,0,0,0,20,23574.7136,11853.228,22224.872,31424.32,61585.241,0.078330895,0.03938101,0.073839624,0.104403749,0.204609999,1489.283169,511.25,1329,2450.75,3481,-7.728915845,-336.88175,202,401.4125,-5580.29,4273.8
0.5,-780 ,50617 ,-0.015 ,-4.1 ,3530,0.678 ,0.48,471.5047662,-1004.558738,15.62796209,1319,0.684609553,1319,0.670962851,-0.987323196,0.679302502,0,0,1,7,0.550796058,0,0,0,28,19027.73483,8861.4535,15833.017,26750.54,50616.595,0.063211976,0.029460142,0.052591855,0.088856123,0.168130976,1510.661865,520.25,1346,2483.75,3530,-4.103261941,-504.9775,227.7365,485.375,-5580.29,5386.02
0.6,-183 ,45300 ,-0.004 ,-1.0 ,2187,0.639 ,0.463087248,569.3329407,-1012.624162,15.62796209,1319,0.648976497,1319,0.630022745,-0.997361483,0.758908264,0,0,1,7,0.647081122,0,0,1,28,15991.26518,6510.9915,13927.9235,21807.4655,45299.926,0.052260242,0.021513541,0.045623996,0.071249443,0.148175978,724.3487491,197,564.5,1101.25,2187,-0.963194466,-586.9775,246,553.1595,-5580.29,6413.61
0.7,4416 ,35571 ,0.124 ,23.2 ,958,0.616 ,0.55033557,669.0303052,-1012.735046,15.62796209,1319,0.620924943,1319,0.611068992,-1.059726687,0.841925701,0,1,1,7,0.761940864,0,0,1,29,10139.24178,2947.436,6631.418,16155.189,35570.749,0.030451551,0.009230838,0.020132806,0.045557569,0.109568667,220.7604246,33,146,345.5,958,23.22731008,-648.93575,259.1,640.4725,-5580.29,7429.11
0.8,5095 ,39022 ,0.131 ,26.8 ,794,0.583 ,0.566666667,770.3181256,-1011.161184,15.62796209,1319,0.591357089,1319,0.573919636,-1.063497016,0.937452616,0,1,1,7,0.898407885,0,0,1,30,10005.64152,2842.9935,6392.675,14707.2325,39021.536,0.030159139,0.008828443,0.019846318,0.041425889,0.12212448,174.0993177,34,119,244,794,26.79700341,-710.13175,249.5365,715.6,-5580.29,8480.88
0.9,8126 ,31898 ,0.255 ,42.7 ,706,0.558 ,0.56,873.455125,-1005.987994,15.62796209,1319,0.561789234,1319,0.554207733,-1.096117368,1.008718726,0,1,2,8,1.0015163,0,0,1,30,8392.378444,2831.66675,5583.417,11498.624,31898.244,0.02436167,0.008306127,0.015983383,0.034144106,0.097642345,177.5921152,28,116,281,706,42.7384166,-739.75,249,783.594,-5580.29,9496.38
1,9156 ,38286 ,0.239 ,48.2 ,730,0.531 ,0.581081081,977.9703829,-1003.338115,15.62796209,1319,0.537528431,1319,0.523881729,-1.102264405,1.093631539,0,1,2,8,1.161485974,0,0,1,42,8607.512669,2829.88075,5580.4775,12668.62625,38285.698,0.024838757,0.008186373,0.01686646,0.036183074,0.115048925,171.6728582,23,105,275.5,730,48.15236922,-796.11175,214.036,829.795,-5580.29,10596.51
