lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,亏
1,-3597.177298,51161.062,-0.070310841,-18.91481577,3731,0.122062168,0.355263158,773.9507702,-129.1491503,15.63104879,1319,0.127369219,1319,0.116755118,-0.833180506,0.042456406,0,0,0,2,0.119029568,0,0,0,14,20956.82069,6556.8755,23532.0535,31197.84925,51161.062,0.069563252,0.021764566,0.078111128,0.103556589,0.169821484,1729.66793,742.5,1656,2744.75,3731,-18.91481577,-130,-130,-130,-169.162,4272.09,-0.003,-0.002524364
2,-1298.11302,34846.139,-0.037252707,-6.825787718,2719,0.20242608,0.434210526,862.0328034,-227.3440803,15.63104879,1319,0.216830933,1319,0.188021228,-0.96235579,0.13495072,0,0,0,4,0.253222138,0,0,0,14,14952.11401,4153.90925,16218.8935,24214.532,34846.139,0.048715199,0.01373937,0.05277962,0.078799075,0.113396514,955.5424564,174,641,1734.75,2719,-6.825787718,-230,-230,-217.91,-269.162,6789.638,-0.008,-0.006524226
3,-1297.999908,33368.235,-0.038899268,-6.825192949,2824,0.257391964,0.476821192,903.4188616,-322.3207075,15.63104879,1319,0.272934041,1319,0.241849886,-0.971485413,0.243366187,0,0,0,5,0.377179682,0,0,0,14,15441.62591,5147.91775,16431.0335,24909.104,33368.235,0.04970822,0.01672407,0.052832814,0.080093443,0.107293174,1011.501137,166,738,1830.75,2824,-6.825192949,-330,-330,156.85475,-369.162,6789.638,-0.011,-0.009659507
4,266.6885041,34693.487,0.00768699,1.402588704,1724,0.305913571,0.506666667,940.1062243,-412.3242458,15.62796209,1319,0.322213798,1319,0.289613343,-1.004900923,0.374526156,0,0,1,5,0.493176649,0,0,0,14,12301.68723,2746.6535,12434.034,18881.35075,34693.487,0.037704509,0.008814216,0.037987079,0.057698275,0.105889677,514.8085671,88,351,858.75,1724,1.402588704,-430,-430,397.36825,-469.162,7223.838,-0.014,-0.011884774
5,2322.047832,24862.52,0.093395514,12.21229265,1572,0.341546626,0.536912752,990.2101731,-495.085399,15.62796209,1319,0.357846854,1319,0.325246399,-1.037462095,0.478392722,0,0,1,5,0.590978014,0,0,0,14,8883.095571,3480.37475,7011.5715,14051.815,24862.52,0.026857029,0.011150295,0.021645927,0.042119459,0.071953298,433.3457165,79,310.5,651,1572,12.21229265,-530,-505.82,513.4,-575.689,7763.63,-0.023,-0.019912921
6,1872.626806,33332.543,0.056180136,9.848663002,1489,0.36504928,0.503311258,1016.709026,-569.0209069,15.62796209,1319,0.382107657,1319,0.347990902,-1.027258944,0.60121304,0,0,1,6,0.686125853,0,0,1,14,9888.590314,3084.89325,6514.1155,14882.549,33332.543,0.029644368,0.009983236,0.020864969,0.044594978,0.097090498,346.9147081,57,177,473,1489,9.848663002,-630,-528.865,597.8025,-727.905,7763.63,-0.022,-0.017071032
7,3247.472032,23924.743,0.135736966,17.07935481,1562,0.387035633,0.56,1048.216789,-633.9975288,15.62796209,1319,0.404852161,1319,0.369219105,-1.043948967,0.692949204,0,0,1,6,0.774450341,0,0,1,16,7957.296599,3008.72725,7404.071,12145.67025,23924.743,0.023869805,0.009612029,0.022423596,0.035895882,0.068607636,385.3813495,60.25,237,537,1562,17.07935481,-730,-488.865,685,-827.905,7763.63,-0.035,-0.026499659
8,5891.173014,23536.549,0.250298929,30.98331046,586,0.405231236,0.55704698,1088.540614,-689.5576437,15.62796209,1319,0.418498863,1319,0.391963609,-1.075545585,0.79757392,0,1,1,6,0.896891585,0,0,1,27,6650.842373,2565.27475,5834.6375,9644.2945,23536.549,0.019010714,0.007918431,0.016770983,0.02837783,0.061327066,145.9230478,28,104.5,230,586,30.98331046,-817.91,-455.554,759.815,-927.905,13209.07,-0.039,-0.029297313
9,5612.017065,24451.371,0.22951748,29.51515201,678,0.416603487,0.546666667,1104.914964,-738.4279233,15.62796209,1319,0.426838514,1319,0.406368461,-1.068513016,0.878695982,0,1,1,6,0.96853677,0,0,1,27,7214.487595,2399.14225,5877.0965,10900.365,24451.371,0.020813581,0.007371813,0.017182444,0.031692781,0.070078508,162.6474602,28,113,258,678,29.51515201,-905.82,-428.73,789,-1027.905,13209.07,-0.042,-0.030199858
10,7877.604644,27594.907,0.285473136,41.43050455,668,0.43025019,0.573333333,1127.628677,-778.8189468,15.62796209,1319,0.440485216,1319,0.420015163,-1.093368316,0.954510993,0,1,1,7,1.058756634,0,0,1,27,7287.086416,2207.881,5587.503,10618.309,27594.907,0.020176168,0.006659302,0.015817986,0.030245808,0.06861768,153.5041698,22,104.5,233,668,41.43050455,-969.55,-399.5,835.5725,-1127.905,13209.07,-0.041,-0.028223286
11,9470.755836,27298.46,0.346933704,49.8093279,514,0.439347991,0.593333333,1150.187651,-812.4884922,15.62796209,1319,0.450341168,1319,0.428354814,-1.10934529,1.009097801,0,1,2,7,1.13419257,0,0,1,27,6828.974697,1973.9615,4983.4795,10182.33,27298.46,0.018407634,0.005850226,0.013845334,0.028845223,0.063637019,119.4196361,16,67,195,514,49.8093279,-966.5,-370,863.8475,-1227.905,13209.07,-0.045,-0.029763162
