lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
1,-3000.337488,42373.694,-0.070806607,-15.77648976,3944,0.116376042,0.355263158,844.7917915,-129.1160275,15.63104879,1319,0.119787718,1319,0.112964367,-0.861718927,0.052312358,0,0,0,2,0.133813495,0,0,0,14,16128.60179,5680.0255,16436.0815,24040.33625,42373.694,0.053627048,0.018885869,0.054649347,0.079933205,0.140890924,1927.736543,949.5,1865,2957.75,3944,-15.77648976,-130,-130,-130,-169.162,4602.09,-0.004,-0.00304708
2,73.85536737,30876.569,0.002391955,0.388349128,1538,0.195602729,0.447368421,936.485469,-227.2394142,15.63104879,1319,0.207733131,1319,0.183472328,-1.002124556,0.150871873,0,0,0,4,0.283548143,0,0,0,14,11461.54636,3031.14725,11203.364,19252.10675,30876.569,0.03648149,0.009823985,0.035442532,0.061138422,0.098789586,495.2115239,114,361.5,831.5,1538,0.388349128,-230,-230,-217.91,-275.689,7317.238,-0.009,-0.007359607
3,500.7384752,26532.991,0.018872297,2.633002274,1543,0.249431387,0.483443709,979.6911094,-322.0661061,15.63104879,1319,0.263078089,1319,0.235784685,-1.010892205,0.261940864,0,0,0,5,0.416603487,0,0,0,14,11356.36312,3236.6065,11254.586,18664.63425,26532.991,0.035446626,0.010342021,0.034853206,0.05780886,0.081317728,481.843442,100.25,348,801.5,1543,2.633002274,-330,-330,-102.5,-375.689,7317.238,-0.014,-0.012138326
4,2896.986116,27726.061,0.104486033,15.23605231,1548,0.29833207,0.553333333,1019.597166,-411.7937677,15.62796209,1319,0.312357847,1319,0.284306293,-1.052730399,0.394617134,0,0,1,5,0.536770281,0,0,0,14,8334.413896,2259.76775,7418.724,12623.97,27726.061,0.024258989,0.007214318,0.021405288,0.036806407,0.078914203,421.7081122,44,246,732,1548,15.23605231,-430,-430,404,-475.689,7784.838,-0.017,-0.014852228
5,5272.996574,21888.711,0.240900278,27.73214936,542,0.333206975,0.56,1072.127416,-494.1686123,15.62796209,1319,0.347232752,1319,0.319181198,-1.084162248,0.509855951,0,0,1,5,0.649355572,0,0,1,17,6485.270704,2326.64875,4537.4725,10247.09,21888.711,0.018368709,0.007126824,0.013665955,0.029102991,0.057709554,169.2808946,29,134,288,542,27.73214936,-530,-505.82,542.09,-575.689,8356.63,-0.026,-0.022576414
6,4432.598489,29154.157,0.152040016,23.31226308,1486,0.354435178,0.553333333,1100.141266,-567.9003723,15.62796209,1319,0.369219105,1319,0.339651251,-1.063587599,0.63570887,0,0,1,6,0.750568613,0,0,1,17,8311.757145,2427.82125,5262.0745,12540.95975,29154.157,0.023228915,0.007567875,0.016066531,0.035223158,0.07794798,322.7581501,34,128,466.75,1486,23.31226308,-630,-535.2905,617.85,-727.905,8356.63,-0.025,-0.019479225
7,6057.181992,22317.347,0.271411382,31.85639765,894,0.376042456,0.546666667,1134.518917,-632.6886932,15.62796209,1319,0.391963609,1319,0.360121304,-1.080695915,0.730477635,0,0,1,6,0.846474602,0,0,1,18,6554.432282,2282.8,5599.921,10383.40525,22317.347,0.018380613,0.007045832,0.016237967,0.028653996,0.058276497,190.025398,27,119.5,277.5,894,31.85639765,-730,-505.5,713.05,-827.905,8356.63,-0.037,-0.028349637
8,8125.363962,21467.057,0.378503861,42.73353942,507,0.392342684,0.55704698,1175.131595,-688.4155483,15.62796209,1319,0.40257771,1319,0.382107657,-1.102154961,0.838514026,0,1,1,6,0.974601971,0,0,1,27,5886.804687,2183.3445,5120.857,8391.85075,21467.057,0.015908776,0.006330983,0.014346777,0.022854927,0.056223371,116.6755118,21,72,181,507,42.73353942,-817.91,-476.527,795.5225,-927.905,14218.16,-0.043,-0.032068464
9,7866.198105,22551.367,0.348812474,41.3705144,629,0.403335861,0.573333333,1193.309838,-737.3229041,15.62796209,1319,0.410917362,1319,0.395754359,-1.094037973,0.920394238,0,1,1,6,1.047763457,0,0,1,27,6311.053387,2027.277,4740.1625,9979.63375,22551.367,0.017228841,0.006134861,0.013419272,0.026638823,0.063847333,121.1937074,20,71,173,629,41.3705144,-910.75,-451.82,826.8,-1027.905,14218.16,-0.046,-0.032695264
10,10607.15681,25318.451,0.418949675,55.78597536,597,0.417361638,0.62,1219.180423,-777.5889675,15.62796209,1319,0.424564064,1319,0.410159212,-1.123133398,1.001895375,0,1,2,7,1.147460197,0,0,1,27,6194.036049,1914.72125,4417.9155,9445.82375,25318.451,0.016183397,0.005356278,0.012262708,0.024699954,0.061638253,119.0913571,15,68,180,597,55.78597536,-973.4325,-420,873,-1127.905,14218.16,-0.045,-0.030712344
11,12426.00385,25179.185,0.493503021,65.35179568,598,0.426459439,0.626666667,1244.111316,-811.1217403,15.62796209,1319,0.434420015,1319,0.418498863,-1.140477687,1.057998484,0,1,2,7,1.226307809,0,0,2,27,5874.555086,1768.53775,4065.725,8669.65375,25179.185,0.014875962,0.004968223,0.01093912,0.022545396,0.054030011,124.9787718,12,71,200,598,65.35179568,-977.56425,-400.2905,905.77,-1227.905,14218.16,-0.049,-0.032213979
12,14202.79704,27586.095,0.514853481,74.69644314,502,0.433661865,0.624161074,1267.131425,-838.3863005,15.62796209,1319,0.439727066,1319,0.427596664,-1.157318553,1.107657316,0,1,2,7,1.285443518,0,0,2,27,5530.307404,1676.1475,3769.699,7826.30775,27586.095,0.013527826,0.004752223,0.009658455,0.020642806,0.056056029,93.16376042,11,49,138,502,74.69644314,-962.6825,-376.527,929.6675,-1327.905,14218.16,-0.048,-0.030391627
13,16269.7813,29373.897,0.553885693,85.56728582,506,0.439727066,0.610738255,1291.058388,-860.555636,15.62796209,1319,0.445034117,1319,0.434420015,-1.177471721,1.143669447,0,1,2,7,1.350265353,0,0,2,29,5896.471909,1732.40325,4093.91,8285.60775,29373.897,0.013630194,0.004695454,0.010157509,0.020571813,0.05608235,101.2862017,11,55,165,506,85.56728582,-945.44275,-363.14,954.404,-1447.486,14218.16,-0.049,-0.029296611
14,15097.24049,30838.897,0.489551896,79.40056899,525,0.441243366,0.617449664,1296.754446,-881.9290868,15.62796209,1319,0.447308567,1319,0.435178165,-1.161126605,1.172100076,0,1,2,7,1.378316907,0,0,2,29,6327.930175,1914.777,4530.947,8711.7135,30838.897,0.014906051,0.005313832,0.011187832,0.021932098,0.060486954,106.4715694,13,61,174,525,79.40056899,-938.8715,-358.2635,961.21425,-1547.486,14218.16,-0.05,-0.028597945
15,14740.83774,32106.897,0.459117483,77.52614822,507,0.442759666,0.610738255,1307.530116,-899.7831265,15.62796209,1319,0.449583017,1319,0.435936315,-1.154620765,1.191432904,0,1,2,7,1.412433662,0,0,2,31,6411.255061,2038.7215,4783.405,8569.872,32106.897,0.015425239,0.005739563,0.011891677,0.021704163,0.064024558,101.9366945,15,64,160,507,77.52614822,-934.88175,-350,965.75475,-1627.905,14218.16,-0.051,-0.028024606
16,14798.8597,33194.334,0.445824872,77.83130174,507,0.444655042,0.617449664,1316.81654,-914.202613,15.62796209,1319,0.451099318,1319,0.438210766,-1.153302417,1.213419257,0,1,2,7,1.445413192,0,0,2,31,6619.505183,1970.35425,4940.6995,8919.56975,33194.334,0.016006026,0.005635732,0.012424233,0.022702012,0.065907032,99.6580743,12,61,157,507,77.83130174,-931.5,-346,968.2,-1734.432,14218.16,-0.052,-0.027540923
17,14619.91362,24314.981,0.60127185,76.89017475,381,0.445792267,0.617449664,1324.299189,-926.4976505,15.62796209,1319,0.451099318,1319,0.440485216,-1.149745557,1.237300986,0,1,2,7,1.474222896,0,0,2,31,6038.908026,1900.2625,4944.195,8982.36975,24314.981,0.015222473,0.005315556,0.012691976,0.022924897,0.064121348,91.85670963,12,61,148.75,381,76.89017475,-925,-341.5835,978.823,-1834.432,14218.16,-0.075,-0.038103984
18,15095.7211,24491.891,0.616355883,79.39257809,371,0.447687642,0.617449664,1330.962069,-935.0916829,15.62796209,1319,0.453373768,1319,0.442001516,-1.153723743,1.253980288,0,1,2,7,1.501895375,0,0,2,36,5950.720542,1918.43,5011.3155,9064.148,24491.891,0.014906103,0.00539267,0.012339313,0.022516806,0.063786571,95.84154663,13,63,161,371,79.39257809,-921.14525,-339.2635,984.55725,-1934.432,14218.16,-0.079,-0.038179644
19,15021.51337,24591.891,0.610831976,79.00229909,397,0.448824867,0.604026846,1334.860754,-943.649978,15.62796209,1319,0.455648218,1319,0.442001516,-1.151893497,1.26383624,0,1,2,7,1.518574678,0,0,2,36,6046.824642,1956.13675,5080.7785,9298.61375,24591.891,0.015148276,0.005552947,0.012844878,0.023081883,0.064056351,100.1554208,13,66,168,397,79.00229909,-917.635,-336.7635,986.07075,-2034.432,14218.16,-0.083,-0.038372404
